#Sensor Monitor 1.0#Sensor data: Acceleration
#Tue May 18 18:44:01 GMT+08:00 2021

#X(m/s²)	Y(m/s²)	Z(m/s²)
-9.095783233642578	-11.010359764099121	-0.033356018364429474
-6.562650203704834	-12.057276725769043	1.28702712059021
-5.323029041290283	-7.883847713470459	0.31348717212677
-4.402735710144043	-8.215300559997559	-0.09624691307544708
-3.3601279258728027	-6.732571601867676	0.9389867782592773
-2.93215012550354	-5.685452938079834	0.9113576412200928
-3.9079020023345947	-6.728127956390381	0.4433487057685852
-4.743612766265869	-8.863247871398926	1.6967324018478394
-6.062415599822998	-9.850397109985352	1.9521842002868652
-7.140993595123291	-8.954812049865723	0.2156696915626526
-5.940885543823242	-9.429132461547852	0.8084453344345093
-6.01568078994751	-10.996980667114258	-0.22076456248760223
-2.8521549701690674	-6.981253147125244	0.11722969263792038
-3.2621476650238037	-4.474054336547852	-1.0289320945739746
-4.980418682098389	-5.7646918296813965	-0.613097608089447
-5.4083967208862305	-8.591621398925781	0.32783326506614685
-7.398370742797852	-10.527792930603027	0.3762248456478119
-6.949610710144043	-13.533943176269531	-0.6866092085838318
-5.4008402824401855	-7.282825946807861	0.30445626378059387
-5.287537097930908	-8.197813034057617	-1.1409711837768555
-4.0475993156433105	-7.169034481048584	0.33579155802726746
-2.969825267791748	-6.875917434692383	0.5998241305351257
-3.716672658920288	-7.640098571777344	0.00913627352565527
-4.146594524383545	-8.518406867980957	0.6289088726043701
-5.850777626037598	-10.047582626342773	0.7858536243438721
-7.025459289550781	-10.320598602294922	0.08759905397891998
-4.133081436157227	-8.740224838256836	0.2464687079191208
-5.098940849304199	-9.929452896118164	-0.11425130814313889
-4.469314098358154	-7.750653266906738	0.05347689241170883
-4.694723129272461	-5.323622703552246	-1.3974189758300781
-4.214752674102783	-6.590854167938232	-1.4228739738464355
-5.690059661865234	-7.9037580490112305	-0.5888108015060425
-7.506895065307617	-9.792275428771973	0.7023151516914368
-7.3827223777771	-11.157382011413574	-0.6121782064437866
-5.364927291870117	-9.195870399475098	0.00994072575122118
-5.196749210357666	-9.553296089172363	-0.5400744676589966
-4.589598655700684	-7.623617172241211	0.43712377548217773
-3.124481201171875	-6.344318389892578	0.4292229115962982
-3.316802501678467	-6.896201133728027	-0.28280308842658997
-3.931288719177246	-7.788185119628906	0.4453502595424652
-5.509661674499512	-9.859696388244629	0.38311055302619934
-6.600900173187256	-12.286439895629883	0.9322734475135803
-4.226876735687256	-8.234406471252441	1.508615255355835
-5.677715301513672	-8.676117897033691	-0.6177040338516235
-4.420778274536133	-8.922700881958008	-0.21507592499256134
-3.4073128700256348	-6.943050861358643	-0.7539724111557007
-3.5509841442108154	-6.405561923980713	-1.0619720220565796
-4.4669671058654785	-7.353628158569336	-0.4581161141395569
-5.345706462860107	-9.527514457702637	-0.05469314008951187
-6.0835418701171875	-11.729290008544922	0.4709107279777527
-5.715323448181152	-10.419316291809082	0.48807239532470703
-5.78269624710083	-8.848165512084961	-0.31640809774398804
-4.208393573760986	-8.532657623291016	1.3346620798110962
-2.907212257385254	-6.581076145172119	1.3762158155441284
-2.996649980545044	-6.134748935699463	0.23243866860866547
-3.1850733757019043	-7.1245222091674805	0.7268030643463135
-6.155176639556885	-11.261472702026367	0.7108576893806458
-6.716320037841797	-11.507701873779297	0.33910515904426575
-4.96445369720459	-8.473166465759277	1.9103047847747803
-6.020967483520508	-7.641391754150391	0.8417725563049316
-4.565713882446289	-8.824797630310059	0.34266772866249084
-2.6441850662231445	-6.696400165557861	1.079105019569397
-3.235715866088867	-6.228515625	-0.2462005466222763
-3.4346930980682373	-6.955357074737549	0.2568691074848175
-5.015345096588135	-8.587665557861328	0.6484456062316895
-7.007569789886475	-11.254107475280762	1.0033236742019653
-6.194565773010254	-10.947036743164062	0.2612457275390625
-6.422187328338623	-8.75619888305664	-0.46292367577552795
-4.861780643463135	-8.376699447631836	0.3661883473396301
-3.0079121589660645	-6.654760360717773	1.7612801790237427
-2.7403171062469482	-6.025879859924316	-0.022764069959521294
-3.942254066467285	-7.518732070922852	-0.15362155437469482
-5.0025410652160645	-10.41063117980957	1.044255018234253
-5.896535873413086	-11.203790664672852	0.7285268306732178
-6.022346019744873	-10.067656517028809	1.1252555847167969
-5.293215751647949	-8.362975120544434	1.603588342666626
-5.419342994689941	-9.257075309753418	-0.38890454173088074
-3.4961953163146973	-6.181972503662109	0.3172125816345215
-3.2872581481933594	-5.044946670532227	-1.0161949396133423
-4.769125461578369	-7.388037204742432	-0.8912942409515381
-5.534992218017578	-9.213711738586426	0.16958609223365784
-6.838108539581299	-10.445920944213867	0.37449145317077637
-6.8247389793396	-11.595779418945312	-0.04147715121507645
-5.340142726898193	-8.520427703857422	0.6984939575195312
-4.06556510925293	-8.860882759094238	-0.3987112045288086
-3.1855428218841553	-7.369103908538818	0.5535394549369812
-3.0901098251342773	-6.542922496795654	0.528457760810852
-3.8002493381500244	-7.1920857429504395	-0.007259219419211149
-4.59857177734375	-8.763065338134766	1.0547895431518555
